original_id,pdf_page_start,pdf_page_end,decision,review_reason,study_card,prior_review_decision,related_objectives,technical_sources
A160,51,51,removed,SSID does not explain intermittent kitchen interference; check RF conditions and band.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A161,51,52,retained,"Scenario retained. RJ11-style connector commonly used for telephone line connections. WAN means Wide Area Network; LAN means Local Area Network. An analog phone needs a working phone service or compatible voice port, not an ordinary Ethernet jack.",A161,keep,"2.7, 3.2",https://www.netgear.com/hub/technology/connecting-cable-modem-and-router/; https://www.flukenetworks.com/blog/cabling-chronicles/wire-map-testing-it-s-not-all-about-color
A162,52,52,retained,Adapted and corrected. The host shares its locally attached printer over the LAN. It must stay powered on and reachable.,A162,rewrite,3.7,https://support.microsoft.com/en-US/Windows/hardware/printer/share-a-printer-as-a-network-printer
A163,52,52,retained,Adapted and corrected. A phone hotspot can share cellular data with the laptop when authorized and supported. NFC and a VPN do not supply an internet connection by themselves.,A163,merge,1.3,https://support.apple.com/en-us/111785
A164,52,52,retained,"Adapted and corrected. An F connector terminates coax. RG-59 and RG-6 name cable types, not connectors.",A164,rewrite,"2.7, 3.2",https://www.netgear.com/hub/technology/connecting-cable-modem-and-router/; https://www.flukenetworks.com/blog/cabling-chronicles/wire-map-testing-it-s-not-all-about-color
A165,52,53,retained,Scenario retained. A static configuration from another subnet can prevent guest-network access; use authorized DHCP settings.,A165,keep,"2.3, 2.4",https://learn.microsoft.com/en-us/windows-server/networking/technologies/dhcp/dhcp-top
A166,53,53,retained,"Adapted and corrected. RAID 10 combines striping and mirroring. It does not promise zero downtime, and backups remain necessary.",A166,rewrite,3.4,https://www.intel.com/content/www/us/en/support/articles/000005867/technologies.html
A167,53,53,removed,Budget and website/ERP labels do not determine PaaS versus SaaS/IaaS; management needs missing.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A168,53,53,removed,Thermal technology unspecified; direct thermal uses no ribbon; missing columns have several causes.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A169,53,54,retained,Adapted and corrected. The hypervisor provisions and manages virtual machines on the host. Disk Management alone does not create a complete VM environment.,A169,merge,4.1,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/overview; https://docs.oracle.com/en/virtualization/virtualbox/7.1/user/Introduction.html
A170,54,54,retained,"Scenario retained. Local network within building is LAN; fiber does not make it WAN. A LAN serves a local site. A PAN links a person's nearby devices. A MAN spans a metropolitan area. A SAN provides networked storage access, commonly block storage; it is not merely a large office LAN.",A170,keep,2.7,https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html; https://www.ibm.com/think/topics/block-storage
A171,54,54,removed,Primarily Core 2 operational policy/authorization; retain no rote process card here.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A172,54,54,retained,Adapted and corrected. Password storage and recovery differ by model. Removing the RTC battery is not a reliable universal firmware-password reset.,A172,rewrite,3.5,https://learn.microsoft.com/en-us/windows/security/operating-system-security/system-security/trusted-boot; https://www.dell.com/support/kbdoc/en-us/000219905/how-to-set-a-bios-admin-password-on-a-dell-computer
A173,54,55,retained,Adapted and corrected. DHCP supplies configuration. Clients still need a working link and any required access authorization.,A173,rewrite,"2.3, 2.4",https://learn.microsoft.com/en-us/windows-server/networking/technologies/dhcp/dhcp-top
A174,55,55,retained,"Adapted and corrected. Telnet normally uses TCP 23. Blocking TCP 21 targets FTP control, not Telnet; other remote-access services need their own policy.",A174,rewrite,2.1,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml; https://www.rfc-editor.org/rfc/rfc4251; https://www.rfc-editor.org/rfc/rfc8314
A175,55,55,retained,Adapted and corrected. SSH commonly uses TCP 22 and HTTPS TCP 443. Secure operation still depends on the actual service and configuration.,A175,keep,2.1,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml; https://www.rfc-editor.org/rfc/rfc4251; https://www.rfc-editor.org/rfc/rfc8314
A176,55,55,retained,Adapted and corrected. PXE is a network-boot path. Restore the intended local boot configuration after verifying the drive rather than inventing a PXE server address.,A176,rewrite,"3.5, 5.2",https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
A177,55,55,retained,Adapted and corrected. Near Field Communication supports close-range contactless payment. The payment system still needs a supported device and credentials.,A177,merge,"1.2, 2.2",https://nfc-forum.org/learn/nfc-technology/
A178,56,56,retained,"Adapted and corrected. Reproduce the failure on another workstation, then inspect relevant traffic and firewall logs. Do not blindly open ports.",A178,rewrite,"2.5, 5.5",https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-41r1.pdf
A179,56,56,retained,"Adapted and corrected. The correct service procedure identifies power isolation, cable routing and safe disassembly. Labeling alone cannot replace missing instructions.",A179,rewrite,1.1,https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
A180,56,56,retained,Adapted and corrected. RAID 10 adds mirrored redundancy to striping. It does not guarantee faster performance than every RAID 0 system.,A180,merge,3.4,https://www.intel.com/content/www/us/en/support/articles/000005867/technologies.html
A181,56,56,retained,"Scenario retained. Check power source, cable and switch first before internal replacement. PSU means Power Supply Unit. Verify simple external causes before opening the chassis. A dark system can have several causes; it is not automatic proof of a failed motherboard.",A181,keep,5.1,https://www.dell.com/support/kbdoc/en-us/000125609/resolve-no-power-no-post-no-boot-or-no-video-issues-with-your-dell-computer
A182,57,57,removed,Rack protective-ground compliance measurement is beyond this Core 1 deck; unspecified test cannot certify grounding.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A183,57,57,removed,No GPU option and dual monitors not necessary; fixed CPU count cannot meet unknown games.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A184,57,57,removed,Unspecified existing OS/peripherals/apps prevents selecting exactly three required steps.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A185,57,58,retained,"Scenario retained. Check DHCP scope/reservations/exclusions and static assignments for collisions. Each host needs a unique address on that subnet. Find which assignment is wrong, correct it, and keep manually assigned addresses out of the DHCP pool. Do not change a server's address without considering services that depend on it.",A185,keep,5.5,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
A186,58,58,removed,"NIC, medium and switch may all be in path; topology unspecified and switch not mandatory.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A187,58,58,retained,"Adapted and corrected. A mouse provides pointing input. A webcam captures images, which is a different kind of input.",A187,keep,"1.1, 5.4",https://support.microsoft.com/en-US/Windows/Hardware/input-devices/mouse-and-keyboard-problems-in-windows
A188,58,58,retained,"Adapted and corrected. DDR generation, module form factor and ECC capability must all match. ECC is not an alternative generation to DDR4.",A188,rewrite,3.3,https://www.intel.com/content/www/us/en/support/articles/000100193/processors/intel-xeon-processors.html
A189,58,59,retained,"Adapted and corrected. Duplex printing uses both sides of a sheet. Collating controls the order of copies, not which side receives printing.",A189,merge,3.7,https://download.brother.com/welcome/doc002441/hl5380dn_ukeng_usr_b.pdf
A190,59,59,retained,Scenario retained. 169.254.1.1 is IPv4 link-local; normally not routed off-link. APIPA means Automatic Private IP Addressing. It permits local-link communication without a DHCP lease. Routers do not forward it. Check the cable or Wi-Fi connection and DHCP service; it does not by itself prove the server is broken.,A190,keep,"2.6, 5.5",https://www.rfc-editor.org/rfc/rfc3927
A191,59,59,removed,VR-headset key is wrong; e-paper sunlight readability is peripheral to current listed display technologies.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A192,59,59,retained,Adapted and corrected. ipconfig /flushdns clears cached name-resolution entries. It does not repair every DNS server or routing problem.,A192,rewrite,5.5,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/troubleshoot-dns-client-resolution-issues
A193,59,59,removed,Contrast does not reliably repair lamp dimness; multiple possible causes and insufficient isolation.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A194,60,60,removed,Access-network architecture unspecified; several technologies change media before last mile.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A195,60,60,retained,Adapted and corrected. The identified constraint is RAM. Guest workloads and host overhead determine the required amount.,A195,rewrite,4.1,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/host-hardware-requirements
A196,60,60,retained,Scenario retained. Touchscreen can accept check-in input; protect kiosk appropriately. IoT means Internet of Things: network-connected physical devices such as sensors. A touchscreen can be a peripheral within a kiosk; the terms describe different aspects of the setup.,A196,keep,"1.2, 2.6",https://csrc.nist.gov/glossary/term/internet_of_things
A197,60,61,retained,"Scenario retained. Multiple compatible guests can share one adequately sized host for testing. Check guest support, licensing, hardware dependencies and security. A VM does not automatically make an old OS secure or make software for a different CPU architecture run natively.",A197,keep,4.1,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/overview; https://docs.oracle.com/en/virtualization/virtualbox/7.1/user/Introduction.html
A198,61,61,removed,Drive count absent and implausible spindle speeds; cannot derive capacity/performance/failure points.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A199,61,61,retained,Adapted and corrected. A compliant Cat 5e channel supports 1000BASE-T. The explicit prices make the cost comparison valid; Cat 5 is not inherently restricted to 100 Mbps.,A199,keep,3.2,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst1000/hardware/installation/24_48_port_hig/b_c1000_24_48_hig/product_overview.html
A200,61,61,retained,Adapted and corrected. The device's memory error points to its page-processing capacity. Network speed does not supply printer RAM.,A200,rewrite,5.6,https://download.brother.com/welcome/doc002441/hl5380dn_ukeng_usr_b.pdf
B001,62,62,retained,Adapted and corrected. DNS resolves the server name; it does not resolve the full share path as one DNS name.,B001,merge,"2.3, 2.4",https://learn.microsoft.com/en-us/windows-server/networking/dns/dns-overview; https://learn.microsoft.com/en-us/windows-server/networking/dns/dns-architecture
B002,62,62,removed,Roller cleaning does not repair faint toner density; insufficient evidence for exactly two options.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B003,62,62,removed,No evidence distinguishes background updates from OS/app/storage causes.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B004,62,62,retained,Adapted and corrected. The media profile lets the printer choose supported feed and fusing conditions. Do not manually overheat the fuser.,B004,rewrite,"3.7, 5.6",https://h10032.www1.hp.com/ctg/Manual/c05786470.pdf
B005,63,63,retained,Adapted and corrected. Each office uses a LAN. The city-wide interconnection is a MAN; these names describe scope rather than guaranteeing speed.,B005,keep,2.7,https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html; https://www.ibm.com/think/topics/block-storage
B006,63,63,retained,"Scenario retained. Modern discrete graphics typically uses PCIe; verify slot, power, dimensions and firmware. A physical x16 slot may be wired for fewer lanes. Bandwidth also depends on the PCIe generation and both devices' support. Check the motherboard's lane-sharing rules.",B006,keep,3.5,https://www.intel.com/content/www/us/en/gaming/resources/what-is-pcie-4-and-why-does-it-matter.html
B007,63,63,retained,Adapted and corrected. The SATA data connector carries storage traffic; the separate power connector supplies electricity.,B007,rewrite,"3.2, 3.4",https://www.kingston.com/en/ssd/ssd-faq; https://www.kingston.com/en/ssd/ssd-faq
B008,63,64,retained,"Adapted and corrected. The link-local address suggests the client did not receive a DHCP lease. Because the PC was moved, first check its Ethernet connection and patching.",B008,rewrite,"2.6, 5.5",https://www.rfc-editor.org/rfc/rfc3927
B009,64,64,retained,"Adapted and corrected. Channel 6 is a standard 2.4 GHz Wi-Fi channel. For 20 MHz channels, 1, 6 and 11 are commonly used to avoid overlap.",B009,merge,"2.2, 5.5",https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
B010,64,64,retained,"Adapted and corrected. Use the sync application's bandwidth limit or schedule. Router QoS is a separate network-wide control, not the app's own setting.",B010,rewrite,1.3,https://support.microsoft.com/en-us/onedrive/sync-your-computer-s-files-and-folders-with-onedrive
B011,64,64,retained,Scenario retained. DHCP must provide valid DNS resolver settings for name resolution. The client needs an address and network settings before it can communicate normally. DNS resolves names; DHCP supplies configuration. They perform different jobs even when one server runs both.,B011,keep,"2.3, 2.4",https://learn.microsoft.com/en-us/windows-server/networking/technologies/dhcp/dhcp-top
B012,64,65,retained,"Adapted and corrected. The common AP, its power, radio and uplink are a sensible next focus. Wired connectivity alone does not prove every DHCP or wireless path works.",B012,rewrite,5.5,https://www.cisco.com/c/en/us/support/docs/wireless/wireless-lan-controller-software/220877-troubleshoot-wireless-speed-issues.pdf
B013,65,65,retained,Adapted and corrected. Rapid elasticity adjusts capacity with demand. Overprovisioning means allocating extra capacity and does not describe automatic scaling.,B013,rewrite,4.2,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
B014,65,65,retained,Scenario retained. Authorized VPN gives remote access to private network resources over untrusted networks. An encrypted remote-access VPN can protect traffic between a user and the VPN endpoint. It does not automatically protect traffic after that endpoint or make an unsafe device trustworthy.,B014,keep,"2.6, 1.3",https://csrc.nist.gov/glossary/term/virtual_private_network
B048,74,74,retained,Scenario retained. Authorized VPN gives remote access to private network resources over untrusted networks. An encrypted remote-access VPN can protect traffic between a user and the VPN endpoint. It does not automatically protect traffic after that endpoint or make an unsafe device trustworthy.,B048,keep,"2.6, 1.3",https://csrc.nist.gov/glossary/term/virtual_private_network
B015,65,65,retained,Adapted and corrected. An Intrusion Prevention System can enforce blocking. An IDS primarily detects and alerts; neither catches every attack.,B015,rewrite,2.5,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-94.pdf
B016,65,66,retained,Adapted and corrected. Power isolation reduces further damage. A supported inspection is needed before determining repairability or cost.,B016,rewrite,5.4,https://support.apple.com/en-us/102643
B017,66,66,retained,Scenario retained. Verify AC input range and local plug/cable suitability; never assume universal voltage. AC is alternating current; DC is direct current. Efficiency is not the percentage of labeled wattage you may use. A 750 W PSU is not reduced to 600 W merely because it is 80% efficient. Check the unit's label rather than assuming every PSU needs a manual voltage switch.,B017,keep,3.6,https://www.corsair.com/ww/en/p/psu/cp-9020170-na/vs-series-vs450-450-watt-80-plus-white-certified-psu-cp-9020170-na; https://help.corsair.com/hc/en-us/articles/14641912717453-PSU-Efficiency-Ratings-Explained
B018,66,66,removed,"RAID, full storage and access/service failure remain possible; remote access alone is insufficient.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B019,66,66,retained,"Scenario retained. Provider-hosted calendar application is SaaS. Users consume an application instead of maintaining its underlying server platform. They still manage their accounts, access choices and data responsibilities.",B019,keep,4.2,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-are-iaas-paas-and-saas
B020,66,67,retained,Adapted and corrected. Suitable optical fiber and optics can span this distance. An ordinary 328 ft copper Ethernet channel cannot bridge it directly.,B020,keep,3.2,https://www.thefoa.org/tech/ref/basic/fiber.html
B021,67,67,removed,Core 2 identity management; SSO does not universally eliminate device unlock passwords.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B022,67,67,removed,LCD inverter is not an established charging cause; arbitrary selection of three is unsupported.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B023,67,67,retained,"Adapted and corrected. A managed switch can define VLANs. Isolation also depends on routing and access controls, so VLANs alone are not a complete security policy.",B023,merge,2.4,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/vlans.html
B024,67,68,retained,Adapted and corrected. Replace the identified member using the supported procedure. Rebuilding restores protection; deleting the volume destroys the existing layout.,B024,rewrite,5.2,https://downloads.dell.com/topicspdf/poweredge-rc-h740p_Users-Guide_en-us.pdf
B025,68,68,retained,"Adapted and corrected. The stated power requirement, not unspecified beep sounds, establishes the PSU mismatch. Verify connectors and total system demand too.",B025,rewrite,5.1,https://www.dell.com/support/kbdoc/en-ca/000126068/how-to-diagnose-and-resolve-common-memory-issues-on-a-dell-desktop-pc
B026,68,68,retained,Scenario retained. Check controller/event health and cache status before hardware replacement or destructive array changes.,B026,keep,"3.4, 5.2",https://downloads.dell.com/topicspdf/poweredge-rc-h740p_Users-Guide_en-us.pdf
B027,68,68,retained,Adapted and corrected. Pair the devices using their supported process. Changing a Wi-Fi SSID does not establish Bluetooth pairing.,B027,merge,"1.2, 1.3",https://support.microsoft.com/en-us/windows/pair-a-bluetooth-device-in-windows-2be7b51f-6ae9-b757-a3b9-95ee40c3e242
B028,68,69,retained,Adapted and corrected. Addresses must be unique on the subnet. A static address is not inherently wrong; the duplicated value is the fault.,B028,rewrite,5.5,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
B029,69,69,removed,Core 2 application/privacy setting; blindly enabling remote images is not universally appropriate.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B030,69,69,retained,Adapted and corrected. Verify the chosen printer and queue on the affected client. Avoid disrupting every user before confirming where this job was sent.,B030,rewrite,5.6,https://support.microsoft.com/en-us/windows/hardware/printer/troubleshooting-offline-printer-problems-in-windows
B031,69,69,retained,Adapted and corrected. Device Manager exposes the device and driver state. Calibration is not a substitute for checking a missing or disabled input device.,B031,rewrite,"1.1, 5.4",https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
B032,70,70,removed,"Clock, architecture and workload absent; overclocked core count does not establish best stable server performance.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B033,70,70,retained,Adapted and corrected. A hub repeats signals. A switch learns MAC addresses and can forward known unicast traffic selectively.,B033,rewrite,"2.5, 2.4",https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html
B034,70,70,retained,Adapted and corrected. The connector can interrupt power when moved. Reseating a battery does not rule out a damaged socket or contact.,B034,rewrite,1.1,https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
B035,70,71,retained,"Scenario retained. Sign in to authorized supported account and enable contacts/calendar synchronization. Large photos and files can consume bandwidth and storage. Check which account and folders are selected and whether cellular sync is allowed. Deletions may synchronize too, so sync alone is not a separate backup.",B035,keep,1.3,https://support.microsoft.com/en-us/onedrive/sync-your-computer-s-files-and-folders-with-onedrive
B036,71,71,removed,DDR3 cannot simply function in a DDR4-only slot; keyed cause contradicts working subsets.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B037,71,71,retained,Adapted and corrected. Use plenum-rated cable for the stated requirement. A crawl space is not automatically a plenum merely because of its location.,B037,rewrite,3.2,https://www.belden.com/blog/communications-cable-ratings
B038,71,71,retained,Adapted and corrected. The inverter powers the fluorescent backlight in this older design. LED-backlit displays use different circuitry.,B038,rewrite,"3.1, 5.3",https://www.dell.com/support/kbdoc/en-us/000134946/how-to-troubleshoot-display-or-video-issues-on-dell-laptop-lcd-panel
B039,71,72,retained,Scenario retained. Choose extend/duplicate using OS display controls; verify compatible connection. The comparison helps isolate the problem but does not prove one component. Follow the service manual and power-down procedure before inspecting a display cable. Persistent physical panel damage generally requires replacement.,B039,merge,"5.3, 5.4",https://www.dell.com/support/kbdoc/en-tw/000132110/how-to-troubleshoot-a-dell-desktop-monitor?lang=en; https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
B052,75,75,retained,Scenario retained. Choose extend/duplicate using OS display controls; verify compatible connection. The comparison helps isolate the problem but does not prove one component. Follow the service manual and power-down procedure before inspecting a display cable. Persistent physical panel damage generally requires replacement.,B052,merge,"5.3, 5.4",https://www.dell.com/support/kbdoc/en-tw/000132110/how-to-troubleshoot-a-dell-desktop-monitor?lang=en; https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
B040,72,72,removed,Retired Windows mobile platform and Core 2 accessibility setting; not retained as current platform advice.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B041,72,72,retained,Adapted and corrected. The router/gateway path deserves investigation. DNS cannot explain failure to reach numeric IP addresses; also consider permitted ICMP filtering.,B041,rewrite,"2.6, 5.5",https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
B042,72,72,removed,Core 2 malware procedure and wrong research-after-repair key; omit.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B043,73,73,retained,Adapted and corrected. Finalization closed the disc to further recording in this scenario. Use suitable writable media and a supported recording format.,B043,keep,3.4,https://www.sony.com/electronics/support/articles/00009285
B044,73,73,retained,Adapted and corrected. Move the printer to the authorized reachable network. Installing software does not bypass guest-network isolation.,B044,keep,"2.6, 5.5",https://support.apple.com/en-us/102766
B045,73,73,retained,"Adapted and corrected. A barcode scanner reads inventory codes, while a label printer creates replacement price labels. A magnetic-stripe reader does not print tags.",B045,rewrite,3.8,https://prod-www.zebra.com/us/en/resource-library/faq/difference-between-direct-thermal-and-thermal-transfer-printing.html
B046,73,73,retained,"Scenario retained. USB or Bluetooth tethering can share supported cellular data without Wi-Fi hotspot. A hotspot commonly shares cellular service over Wi-Fi; tethering is the broader sharing idea. A compatible cellular modem is another option. Carrier plans, coverage and data allowances still apply.",B046,keep,1.3,https://support.apple.com/en-us/111785
B047,74,74,retained,Scenario retained. IPv4 mask distinguishes network prefix bits from host bits. The mask helps a host decide whether a destination is local or needs a router. /32 has valid uses elsewhere; it is a mismatch in this stated LAN scenario.,B047,keep,"2.6, 5.5",https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
B049,74,74,retained,Adapted and corrected. Available network I/O bandwidth limits the upload in this stated case. No one resource dominates every sync workload.,B049,rewrite,1.3,https://support.microsoft.com/en-us/onedrive/sync-your-computer-s-files-and-folders-with-onedrive
B050,74,74,retained,Adapted and corrected. The bezel is the frame around the panel. Follow the manual to avoid breaking clips or nearby cables.,B050,rewrite,1.1,https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
B051,74,75,retained,"Adapted and corrected. A firewall is designed for traffic-policy enforcement. Managed switches can also implement some controls, but that is not the dedicated role asked here.",B051,keep,"2.5, 5.5",https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-41r1.pdf
B087,86,86,retained,Adapted and corrected. A firewall enforces traffic rules. It is not a repeater or simply a connectivity gateway.,B087,keep,"2.5, 5.5",https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-41r1.pdf
B053,75,75,retained,"Adapted and corrected. Shielding can reduce electrical interference when installed correctly. A plenum rating concerns fire and smoke, not EMI protection.",B053,keep,3.2,https://www.thefoa.org/tech/ref/basic/fiber.html
B054,75,76,retained,Adapted and corrected. The fuser bonds toner using heat and pressure. The additional diagnostics distinguish it from media-setting problems.,B054,keep,"3.8, 5.6",https://support.hp.com/ca-en/document/ish_6747730-6747774-16
B055,76,76,removed,Rote next-methodology-step question with ambiguous answers; not current tested objective.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B056,76,76,retained,Adapted and corrected. Choose the supported NVMe SSD for the stated performance comparison. M.2 shape alone does not guarantee its protocol or speed.,B056,keep,"3.2, 3.4",https://www.kingston.com/en/ssd/ssd-faq; https://www.kingston.com/en/ssd/ssd-faq
B057,76,77,retained,"Scenario retained. Verify correct input, cable and output mode for no-signal condition. The display can have power while receiving no usable signal. Test with a known-good cable or source to narrow the fault. A no-signal message alone does not prove a failed GPU.",B057,merge,"3.1, 5.3",https://www.dell.com/support/kbdoc/en-tw/000132110/how-to-troubleshoot-a-dell-desktop-monitor?lang=en
B058,77,77,removed,"Symptoms, causes and restatements mixed; evidence cannot select exact two causes.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
B059,77,77,retained,"Scenario retained. Limit shared folders, clipboard, device access and network connectivity for risky testing. A VM escape is a breach from guest to host. Do not assume running malware in any VM makes it harmless.",B059,merge,4.1,https://learn.microsoft.com/en-us/windows/security/application-security/application-isolation/windows-sandbox/windows-sandbox-configure-using-wsb-file
B060,77,78,retained,Scenario retained. Focus lens and confirm supported resolution/placement for soft image. A dirty lens or excessive digital keystone correction can reduce clarity. Keystone distortion is a trapezoid-shaped image caused by projection geometry; it is different from simple blur.,B060,keep,5.3,https://files.support.epson.com/docid/cpd5/cpd51854/source/troubleshooting/reference/problem_image_blurry_no_auto_keystone.html
