card_id,topic,question,options,correct_letters,answer,explanation,related_objectives,source_question_ids,sources
A172,Computer hardware,A computer prompts for an unknown firmware password before startup. The owner authorizes recovery. What should the technician do?,"A. Repeatedly force the power off
B. Replace the disk to bypass the password
C. Follow the manufacturer's authorized password-recovery process
D. Assume removing the coin cell always clears the password",C,C. Follow the manufacturer's authorized password-recovery process,Password storage and recovery differ by model. Removing the RTC battery is not a reliable universal firmware-password reset.,3.5,A172,https://learn.microsoft.com/en-us/windows/security/operating-system-security/system-security/trusted-boot; https://www.dell.com/support/kbdoc/en-us/000219905/how-to-set-a-bios-admin-password-on-a-dell-computer
A173,Networking,Which service automatically leases IP addresses and supplies network settings to supported clients?,"A. DHCP server
B. DNS server
C. proxy serve r
D. TACACS serve r",A,A. DHCP server,DHCP supplies configuration. Clients still need a working link and any required access authorization.,"2.3, 2.4",A173,https://learn.microsoft.com/en-us/windows-server/networking/technologies/dhcp/dhcp-top
A174,Networking,Which default TCP port should be blocked to prevent Telnet connections to a server?,"A. 21
B. 23
C. 80
D. 443",B,B. 23,"Telnet normally uses TCP 23. Blocking TCP 21 targets FTP control, not Telnet; other remote-access services need their own policy.",2.1,A174,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml; https://www.rfc-editor.org/rfc/rfc4251; https://www.rfc-editor.org/rfc/rfc8314
A175,Networking,"Which two ports are commonly associated with SSH and HTTPS, respectively? (Select TWO.)","A. 22
B. 23
C. 25
D. 80
E. 110
F. 443","A,F",A. 22; F. 443,SSH commonly uses TCP 22 and HTTPS TCP 443. Secure operation still depends on the actual service and configuration.,2.1,A175,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xhtml; https://www.rfc-editor.org/rfc/rfc4251; https://www.rfc-editor.org/rfc/rfc8314
A176,Computer hardware,"After random firmware changes, a PC tries PXE network boot instead of its installed UEFI operating system. What should the technician check first?","A. The user's desktop theme
B. The display brightness
C. The printer's IP address
D. Drive detection, UEFI boot mode and the intended boot entry/order",D,"D. Drive detection, UEFI boot mode and the intended boot entry/order",PXE is a network-boot path. Restore the intended local boot configuration after verifying the drive rather than inventing a PXE server address.,"3.5, 5.2",A176,https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
A177,Wireless,Which of the following technologies can be used for wireless payments?,"A. NFC
B. Bluetooth
C. IR
D. LTE",A,A. NFC,Near Field Communication supports close-range contactless payment. The payment system still needs a supported device and credentials.,"1.2, 2.2",A177,https://nfc-forum.org/learn/nfc-technology/
A178,Networking,"An application stops connecting after firewall changes. Before altering security rules, which listed action helps establish the scope of the failure?","A. See if the same application fails on another workstation
B. Go into the firewall and open the port
C. Verify system functionality on the user's workstation
D. Document the issue for future reference",A,A. See if the same application fails on another workstation,"Reproduce the failure on another workstation, then inspect relevant traffic and firewall logs. Do not blindly open ports.","2.5, 5.5",A178,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-41r1.pdf
A179,Mobile devices,A technician must replace a laptop screen but lacks the model-specific service instructions. What should be done before disassembly?,"A. Obtain the vendor service procedure, then document cables and screws during authorized work
B. Force the case open using a similar model's layout
C. Install unrelated firmware
D. Remove every visible screw while the laptop is powered",A,"A. Obtain the vendor service procedure, then document cables and screws during authorized work","The correct service procedure identifies power isolation, cable routing and safe disassembly. Labeling alone cannot replace missing instructions.",1.1,A179,https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
A180,Computer hardware,A customer lost a RAID 0 volume after one HDD failed. The replacement design should use four drives in mirrored pairs with data striped across those pairs. Which configuration fits?,"A. RAID 1 configuration that will utilize new SSD.
B. RAID 2 configuration that will allow the loss of a hard drive without failure.
C. RAID 6 configuration that will allow the loss of two hard dri ves without failure.
D. RAID 10 configuration utilizing HDD",D,D. RAID 10 configuration utilizing HDD,RAID 10 adds mirrored redundancy to striping. It does not guarantee faster performance than every RAID 0 system.,3.4,A180,https://www.intel.com/content/www/us/en/support/articles/000005867/technologies.html
A181,Computer hardware,"A workstation was just moved to a new work location without a surge protector. It was working the day before, but now the PC will not power on, the fans will not spin, and there are no signs of activity. Which of the following should the technician do FIRST?","A. Check the power cable connection
B. Check the voltage of the PSU with a tester
C. Test for distended capacitors
D. Check the voltage switch",A,A. Check the power cable connection,"Check power source, cable and switch first before internal replacement. PSU means Power Supply Unit. Verify simple external causes before opening the chassis. A dark system can have several causes; it is not automatic proof of a failed motherboard.",5.1,A181,https://www.dell.com/support/kbdoc/en-us/000125609/resolve-no-power-no-post-no-boot-or-no-video-issues-with-your-dell-computer
A185,Networking,"A technician has been informed that multiple users are receiving duplicate IP address warnings on their workstations, and they are unable to browse the Internet. Which of the following server types should the technician log in to in order to resolve the problem?","A. DNS server
B. DHCP server.
C. Proxy server
D. RADIUS server",B,B. DHCP server.,"Check DHCP scope/reservations/exclusions and static assignments for collisions. Each host needs a unique address on that subnet. Find which assignment is wrong, correct it, and keep manually assigned addresses out of the DHCP pool. Do not change a server's address without considering services that depend on it.",5.5,A185,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
A187,Displays and peripherals,"Which listed peripheral is normally used to point, click and select items in a graphical desktop?","A. Webcam
B. Mouse
C. Monitor
D. Optical drive",B,B. Mouse,"A mouse provides pointing input. A webcam captures images, which is a different kind of input.","1.1, 5.4",A187,https://support.microsoft.com/en-US/Windows/Hardware/input-devices/mouse-and-keyboard-problems-in-windows
A188,Computer hardware,A server's specification requires DDR4 ECC DIMMs. Which replacement choice is correct?,"A. Any SODIMM that physically fits another laptop
B. Supported DDR4 ECC DIMMs with the required capacity and population rules
C. Any module labeled single channel
D. DDR5 modules because they are newer",B,B. Supported DDR4 ECC DIMMs with the required capacity and population rules,"DDR generation, module form factor and ECC capability must all match. ECC is not an alternative generation to DDR4.",3.3,A188,https://www.intel.com/content/www/us/en/support/articles/000100193/processors/intel-xeon-processors.html
A189,Printers,A user wants to print a large job on both the front and back sides of the paper. Which of the following settings should the technician advise the user to change in the printer settings?,"A. Collate
B. Orientation
C. Duplex
D. Transparency",C,C. Duplex,"Duplex printing uses both sides of a sheet. Collating controls the order of copies, not which side receives printing.",3.7,A189,https://download.brother.com/welcome/doc002441/hl5380dn_ukeng_usr_b.pdf
A190,Networking,Which of the following is an APIPA address?,"A. 162.200.1.1
B. 167.100.1.1
C. 168.254.0.1
D. 169.254.1.1",D,D. 169.254.1.1,169.254.1.1 is IPv4 link-local; normally not routed off-link. APIPA means Automatic Private IP Addressing. It permits local-link communication without a DHCP lease. Routers do not forward it. Check the cable or Wi-Fi connection and DHCP service; it does not by itself prove the server is broken.,"2.6, 5.5",A190,https://www.rfc-editor.org/rfc/rfc3927
A192,Networking,"A PC has a confirmed stale DNS-cache entry, while direct queries to the correct DNS server return the updated record. Which command clears the local cache?","A. ipconfig /all
B. ipconfig /flushdns
C. ipconfig /release
D. ipconfig /setclassid",B,B. ipconfig /flushdns,ipconfig /flushdns clears cached name-resolution entries. It does not repair every DNS server or routing problem.,5.5,A192,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/troubleshoot-dns-client-resolution-issues
A195,Cloud and virtualization,"A virtualization host has CPU, storage and network headroom, but insufficient free memory for several planned guests. Which resource should be upgraded if supported?","A. CPU
B. SSD
C. NIC
D. RAM",D,D. RAM,The identified constraint is RAM. Guest workloads and host overhead determine the required amount.,4.1,A195,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/host-hardware-requirements
A196,Displays and peripherals,"A company offers several out-of-the-box computer configurations to its clients. A client requests several new computers for its newest location, which will be used by guests to check in upon arrival and fill out contact information. Which of the following configurations would BEST fit this customer's needs?","A. Touch-screen kiosk
B. Thick client
C. CAD workstation
D. Virtualized host computer",A,A. Touch-screen kiosk,Touchscreen can accept check-in input; protect kiosk appropriately. IoT means Internet of Things: network-connected physical devices such as sensors. A touchscreen can be a peripheral within a kiosk; the terms describe different aspects of the setup.,"1.2, 2.6",A196,https://csrc.nist.gov/glossary/term/internet_of_things
A197,Cloud and virtualization,"An analyst asks a technician to recommend a solution for a customer in the software development industry, where the customer can test a variety of OS's running the various applications that the customer produces. The customer wants to minimize the investment in hardware. Which of the following solutions should the technician recommended to BEST meet the customer's requirement?","A. Purchase a number of low-cost devices, installing the require d Oss and applications on each one. Use separate machines for each testing environment.
B. Purchase a high-end system meeting the hardware requirements for all of the individual Oss and applications. Configure a VM for each testing environment.
C. Purchase one computer and create images for each computer con figuration and OS. Re-image the machine for each testing environment.
D. Purchase a number of computers, installing a VM on each one. Configure each VM with an OS for the testing environment.",B,B. Purchase a high-end system meeting the hardware requirements for all of the individual Oss and applications. Configure a VM for each testing environment.,"Multiple compatible guests can share one adequately sized host for testing. Check guest support, licensing, hardware dependencies and security. A VM does not automatically make an old OS secure or make software for a different CPU architecture run natively.",4.1,A197,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/overview; https://docs.oracle.com/en/virtualization/virtualbox/7.1/user/Introduction.html
A199,Networking,"A new cable must support a gigabit link for an application targeting 600 Mbps. Available prices are Cat 3 at $2, Cat 5e at $4 and Cat 6 at $7. Which adequate option costs least?","A. Cat 3 at $2
B. A damaged two-pair patch cable
C. Cat 5e at $4
D. Cat 6 at $7",C,C. Cat 5e at $4,A compliant Cat 5e channel supports 1000BASE-T. The explicit prices make the cost comparison valid; Cat 5 is not inherently restricted to 100 Mbps.,3.2,A199,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst1000/hardware/installation/24_48_port_hig/b_c1000_24_48_hig/product_overview.html
A200,Printers,A printer prints simple text normally but reports insufficient printer memory on complex graphics jobs. Which listed resource may need a supported upgrade or workload reduction?,"A. The printer needs more RAM
B. The print server is timing out
C. The users are not printing in post-script mode
D. The printer network connection is set to half duplex",A,A. The printer needs more RAM,The device's memory error points to its page-processing capacity. Network speed does not supply printer RAM.,5.6,A200,https://download.brother.com/welcome/doc002441/hl5380dn_ukeng_usr_b.pdf
B001,Networking,Which service can resolve the hostname portion of a UNC path such as \\fileserver\share to an IP address?,"A. DNS
B. DHCP
C. Proxy
D. Web server",A,A. DNS,DNS resolves the server name; it does not resolve the full share path as one DNS name.,"2.3, 2.4",B001,https://learn.microsoft.com/en-us/windows-server/networking/dns/dns-overview; https://learn.microsoft.com/en-us/windows-server/networking/dns/dns-architecture
B004,Printers,A laser printer smears toner on approved heavy cardstock but prints plain paper normally. Its driver is still set to plain paper. What should be tried next?,"A. Select the supported cardstock media profile
B. Set an arbitrary maximum fuser temperature
C. Disable all temperature protection
D. Replace the network cable",A,A. Select the supported cardstock media profile,The media profile lets the printer choose supported feed and fusing conditions. Do not manually overheat the fuser.,"3.7, 5.6",B004,https://h10032.www1.hp.com/ctg/Manual/c05786470.pdf
B005,Networking,"Three offices within one city each need an internal network and a metropolitan link between sites, all supporting at least 1 Gbps. Which two network categories describe those scopes? (Select TWO.)","A. MAN
B. LAN
C. WAN
D. PAN
E. SAN
F. WLAN","A,B",A. MAN; B. LAN,Each office uses a LAN. The city-wide interconnection is a MAN; these names describe scope rather than guaranteeing speed.,2.7,B005,https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html; https://www.ibm.com/think/topics/block-storage
B006,Computer hardware,"A user wants to build a computer with a high-end CPU, plenty of RAM, and a high-end graphics card for online gaming. The user wants to verify that the graphics card is compatible with the motherboard. Which of the following connection types would the user MOST likely utilize to connect the video card to the motherboard?","A. PCle
B. ISA
C. AGP
D. USB",A,A. PCle,"Modern discrete graphics typically uses PCIe; verify slot, power, dimensions and firmware. A physical x16 slot may be wired for fewer lanes. Bandwidth also depends on the PCIe generation and both devices' support. Check the motherboard's lane-sharing rules.",3.5,B006,https://www.intel.com/content/www/us/en/gaming/resources/what-is-pcie-4-and-why-does-it-matter.html
B007,Computer hardware,Which connection carries data between a conventional internal SATA drive and its motherboard?,"A. SATA data cable
B. SATA power cable
C. A PSU AC input cable
D. A fan power lead",A,A. SATA data cable,The SATA data connector carries storage traffic; the separate power connector supplies electricity.,"3.2, 3.4",B007,https://www.kingston.com/en/ssd/ssd-faq; https://www.kingston.com/en/ssd/ssd-faq
B008,Networking,"A customer reports being unable to access email on desktop workstation, however, other office application are working. A technician determines the computer has an IP address of 169.254.1.10. The technician learns from the customer that the computer recently was moved across the room. Which of the following troubleshooting steps should technician take NEXT?","A. Check the default gateway
B. Verify physical Ethernet connections
C. Test web browser functional
D. Restrict the computer
E. Resolve the IP address conflict",B,B. Verify physical Ethernet connections,"The link-local address suggests the client did not receive a DHCP lease. Because the PC was moved, first check its Ethernet connection and patching.","2.6, 5.5",B008,https://www.rfc-editor.org/rfc/rfc3927
B009,Wireless,Which channel is commonly used for a 2.4 GHz Wi-Fi network in the United States?,"A. 6
B. 17
C. 802
D. 8080",A,A. 6,"Channel 6 is a standard 2.4 GHz Wi-Fi channel. For 20 MHz channels, 1, 6 and 11 are commonly used to avoid overlap.","2.2, 5.5",B009,https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
B010,Mobile devices,A cloud-sync client saturates an office connection while uploading files. The user wants to limit this application's upload rate using its own controls. Which settings should be adjusted?,"A. Synchronization settings
B. Wireless settings
C. Video streaming settings
D. QoS settings",A,A. Synchronization settings,"Use the sync application's bandwidth limit or schedule. Router QoS is a separate network-wide control, not the app's own setting.",1.3,B010,https://support.microsoft.com/en-us/onedrive/sync-your-computer-s-files-and-folders-with-onedrive
B011,Networking,"A technician is setting up a new wireless network at a branch office that previously had only wired connectivity with statically assigned IP addresses. After setting up the network, the technician configures a server to provide IP addresses to wireless clients. During testing, the technician is unable to access the Internet or named network resources. The technician receives a valid IP address from the DHCP server and can ping the default gateway. Which of the following should be technician check NEXT to resolve this issue?","A. Ensure the options are configured to provide a DNS server.
B. Verify the Windows Firewall is turned off.
C. Configure the wireless network's SSID to be hidden.
D. Enable file and printer sharing in the OS.",A,A. Ensure the options are configured to provide a DNS server.,DHCP must provide valid DNS resolver settings for name resolution. The client needs an address and network settings before it can communicate normally. DNS resolves names; DHCP supplies configuration. They perform different jobs even when one server runs both.,"2.3, 2.4",B011,https://learn.microsoft.com/en-us/windows-server/networking/technologies/dhcp/dhcp-top
B012,Wireless,"Several clients on one wireless AP lose network access together, while wired clients remain normal. Which nearby shared component should be checked next?","A. Check the closest AP for the area.
B. Check each wireless adapter switch
C. Check the group's network switch.
D. Check the DHCP server.",A,A. Check the closest AP for the area.,"The common AP, its power, radio and uplink are a sensible next focus. Wired connectivity alone does not prove every DHCP or wireless path works.",5.5,B012,https://www.cisco.com/c/en/us/support/docs/wireless/wireless-lan-controller-software/220877-troubleshoot-wireless-speed-issues.pdf
B013,Cloud and virtualization,An administrator has configured a server to host virtualizes instances. The requirements of each VM must be able to scale automatically depending on peak and off-peak usage. Which of the following terms BEST describes this type of cloud concept?,"A. Over provisioning
B. Measured pooling
C. Resources pooling
D. Rapid elasticity",D,D. Rapid elasticity,Rapid elasticity adjusts capacity with demand. Overprovisioning means allocating extra capacity and does not describe automatic scaling.,4.2,B013,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
B014,Networking,Company management wants to be able to give users the ability to work remotely during periods of bad weather. Which of the following should be enabled to allow the workforce to do this?,"A. NAT
B. VLAN
C. VPN
D. HIPS",C,C. VPN,Authorized VPN gives remote access to private network resources over untrusted networks. An encrypted remote-access VPN can protect traffic between a user and the VPN endpoint. It does not automatically protect traffic after that endpoint or make an unsafe device trustworthy.,"2.6, 1.3",B014,https://csrc.nist.gov/glossary/term/virtual_private_network
B015,Networking,Which listed device is designed to detect suspicious network traffic and actively block it inline?,"A. IPS
B. IDS.
C. Proxy server
D. Authentication server.",A,A. IPS,An Intrusion Prevention System can enforce blocking. An IDS primarily detects and alerts; neither catches every attack.,2.5,B015,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-94.pdf
B016,Mobile devices,Liquid spills on a laptop. Which two actions should precede a repair estimate? (Select TWO.),"A. Safely stop use and disconnect power
B. Follow the model's service procedure to inspect damage and document findings
C. Keep charging it to see whether it improves
D. Use a hair dryer on high heat
E. Assume rice repairs internal damage","A,B",A. Safely stop use and disconnect power; B. Follow the model's service procedure to inspect damage and document findings,Power isolation reduces further damage. A supported inspection is needed before determining repairability or cost.,5.4,B016,https://support.apple.com/en-us/102643
B017,Computer hardware,"A technician is determining the specifications for a desktop computer that will be used at trade shows all over the world. The computer will have the maximum amount of RAM. The CPU, GPU, and storage will be typical of a business workstation. Which of the following system parameters is the MOST important for the technician to consider when choosing a power supply?","A. input voltage
B. Efficiency rating
C. 12V rail amperage
D. Number of SATA connectors",A,A. input voltage,Verify AC input range and local plug/cable suitability; never assume universal voltage. AC is alternating current; DC is direct current. Efficiency is not the percentage of labeled wattage you may use. A 750 W PSU is not reduced to 600 W merely because it is 80% efficient. Check the unit's label rather than assuming every PSU needs a manual voltage switch.,3.6,B017,https://www.corsair.com/ww/en/p/psu/cp-9020170-na/vs-series-vs450-450-watt-80-plus-white-certified-psu-cp-9020170-na; https://help.corsair.com/hc/en-us/articles/14641912717453-PSU-Efficiency-Ratings-Explained
B019,Cloud and virtualization,An end user has signed up to use a web-based calendar application. Which of the following solutions has the user purchased?,"A. DaaS
B. SaaS
C. PaaS
D. IaaS",B,B. SaaS,"Provider-hosted calendar application is SaaS. Users consume an application instead of maintaining its underlying server platform. They still manage their accounts, access choices and data responsibilities.",4.2,B019,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-are-iaas-paas-and-saas
B020,Networking,"Two office buildings are about 2,640 ft apart and need a 1 Gbps link. Which medium is best suited when paired with correctly rated transceivers?","A. Fiber
B. Coaxial
C. Plenum
D. Cat 6",A,A. Fiber,Suitable optical fiber and optics can span this distance. An ordinary 328 ft copper Ethernet channel cannot bridge it directly.,3.2,B020,https://www.thefoa.org/tech/ref/basic/fiber.html
B023,Networking,Which listed device commonly supports configuring several VLANs?,"A. Switch
B. Hub
C. Repeater
D. Bridge",A,A. Switch,"A managed switch can define VLANs. Isolation also depends on routing and access controls, so VLANs alone are not a complete security policy.",2.4,B023,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/vlans.html
B024,Computer hardware,"A RAID 5 controller identifies physical disk 2 as failed. This system does not support hot-swap. After checking backups and the service procedure, which action fits?","A. Arrange shutdown, replace the identified disk with a compatible one, then rebuild and verify health
B. Pull the disk while the unsupported system is running
C. Delete the logical volume and erase the remaining drives
D. Convert to RAID 0 to restore redundancy",A,"A. Arrange shutdown, replace the identified disk with a compatible one, then rebuild and verify health",Replace the identified member using the supported procedure. Rebuilding restores protection; deleting the volume destroys the existing layout.,5.2,B024,https://downloads.dell.com/topicspdf/poweredge-rc-h740p_Users-Guide_en-us.pdf
B025,Computer hardware,"A new GPU is correctly seated, but its documented power requirement exceeds the workstation PSU's available output. What must be corrected?","A. The desktop wallpaper
B. The insufficient PSU capacity
C. The keyboard layout
D. The monitor stand height",B,B. The insufficient PSU capacity,"The stated power requirement, not unspecified beep sounds, establishes the PSU mismatch. Verify connectors and total system demand too.",5.1,B025,https://www.dell.com/support/kbdoc/en-ca/000126068/how-to-diagnose-and-resolve-common-memory-issues-on-a-dell-desktop-pc
B026,Computer hardware,A technician is troubleshooting a Windows CAD workstation that is running slow. The computer uses RAID 10 and has dual GPU cards. The user states that the same application runs faster on an identical workstation. Which of the following should the technician perform FIRST to troubleshoot the problem?,"A. Replace the write cache battery.
B. Check the event log any cache issues.
C. Clear the RAID configuration file and restart the PC.
D. Replace the RAID controller write cache module.",B,B. Check the event log any cache issues.,Check controller/event health and cache status before hardware replacement or destructive array changes.,"3.4, 5.2",B026,https://downloads.dell.com/topicspdf/poweredge-rc-h740p_Users-Guide_en-us.pdf
B027,Wireless,A wearable and phone support Bluetooth sync but have never been paired. Both are powered and discoverable. Which action establishes their connection?,"A. Pair the devices
B. Set the SSID
C. Update the smart wearable device firmware
D. Enable NFC",A,A. Pair the devices,Pair the devices using their supported process. Changing a Wi-Fi SSID does not establish Bluetooth pairing.,"1.2, 1.3",B027,https://support.microsoft.com/en-us/windows/pair-a-bluetooth-device-in-windows-2be7b51f-6ae9-b757-a3b9-95ee40c3e242
B028,Networking,A PC's manual IPv4 address matches another host on the same subnet. What configuration error explains the duplicate-address warning?,"A. The user signed in twice
B. A manually assigned address is already in use
C. The monitor moved desks
D. The keyboard layout changed",B,B. A manually assigned address is already in use,Addresses must be unique on the subnet. A static address is not inherently wrong; the duplicated value is the fault.,5.5,B028,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
B030,Printers,"One user cannot print a document, while other users can print it to the intended device. The user's app may target another queue. What should be checked before restarting shared services?","A. Stop and restart the PC print spooler service.
B. Verify the user is sending the document to the correct printe r queue.
C. Have each user send the same document to the correct printer queue.
D. Stop and restart the print server queues, and then have the u ser resend the document.",B,B. Verify the user is sending the document to the correct printe r queue.,Verify the chosen printer and queue on the affected client. Avoid disrupting every user before confirming where this job was sent.,5.6,B030,https://support.microsoft.com/en-us/windows/hardware/printer/troubleshooting-offline-printer-problems-in-windows
B031,Mobile devices,A Windows touchscreen is unresponsive. Where can a technician inspect the touch device's driver and enabled/disabled status?,"A. Device Manager
B. Performance Monitor
C. System configuration
D. Digitizer settings",A,A. Device Manager,Device Manager exposes the device and driver state. Calibration is not a substitute for checking a missing or disabled input device.,"1.1, 5.4",B031,https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
B033,Networking,Which legacy device repeats incoming Ethernet signals to its other ports rather than forwarding known unicast frames using a MAC table?,"A. Unmanaged switch
B. Hub
C. Firewall
D. Cable modern",B,B. Hub,A hub repeats signals. A switch learns MAC addresses and can forward known unicast traffic selectively.,"2.5, 2.4",B033,https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html
B034,Mobile devices,A battery-powered laptop shuts off when moved. Inspection finds an intermittent battery connector despite earlier reseating. Which issue explains the movement-related power loss?,"A. Residual energy on the motherboard
B. System overheating
C. Distended capacitors
D. Loose battery connection
E. CMOS battery failure",D,D. Loose battery connection,The connector can interrupt power when moved. Reseating a battery does not rule out a damaged socket or contact.,1.1,B034,https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
B035,Mobile devices,"Joe, a user, has purchased a new mobile device that uses a different OS than his previous one. Joe wants to copy his contacts and appointments from his corporate account without entering them manually. Which of the following would be the BEST way for a technician to assist Joe?","A. Log into the same email provider on the new device, and resto re the contacts and dates.
B. Create a Bluetooth connection between Joe's devices, and copy his contacts and calendar.
C. Back up the old mobile device to a PC, and import the contact s and schedule from the PC.
D. Use NFC to transfer all compatible data from one device to th e other.",A,"A. Log into the same email provider on the new device, and resto re the contacts and dates.","Sign in to authorized supported account and enable contacts/calendar synchronization. Large photos and files can consume bandwidth and storage. Check which account and folders are selected and whether cellular sync is allowed. Deletions may synchronize too, so sync alone is not a separate backup.",1.3,B035,https://support.microsoft.com/en-us/onedrive/sync-your-computer-s-files-and-folders-with-onedrive
B037,Networking,A cable must pass through a building air-handling plenum where local rules require CMP-rated communications cable. Which rating should the technician select?,"A. Plenum
B. Fiber
C. Shielded
D. Coaxial",A,A. Plenum,Use plenum-rated cable for the stated requirement. A crawl space is not automatically a plenum merely because of its location.,3.2,B037,https://www.belden.com/blog/communications-cable-ratings
B038,Displays and peripherals,"An older CCFL-backlit laptop has a faint image. Its lamp tests good, but the inverter supplies no required lamp voltage. Which component needs service?","A. LCD panel
B. Inverter
C. Video card
D. Digitizer",B,B. Inverter,The inverter powers the fluorescent backlight in this older design. LED-backlit displays use different circuitry.,"3.1, 5.3",B038,https://www.dell.com/support/kbdoc/en-us/000134946/how-to-troubleshoot-display-or-video-issues-on-dell-laptop-lcd-panel
B039,Displays and peripherals,An end user wants to have a second monitor installed on a laptop. Which of the following would allow a technician to configure the laptop to show both screens once the cable is connected?,"A. Plug an external monitor into the USB port.
B. Use the Fn and function key combination
C. Adjust the monitor display settings.
D. Enable DisplayPort.",C,C. Adjust the monitor display settings.,Choose extend/duplicate using OS display controls; verify compatible connection. The comparison helps isolate the problem but does not prove one component. Follow the service manual and power-down procedure before inspecting a display cable. Persistent physical panel damage generally requires replacement.,"5.3, 5.4",B039,https://www.dell.com/support/kbdoc/en-tw/000132110/how-to-troubleshoot-a-dell-desktop-monitor?lang=en; https://dl.dell.com/topicspdf/latitude-14-5420-laptop_owners-manual_en-us.pdf
B041,Networking,"A PC has valid settings for its office subnet. It can reach a local peer, but the configured gateway and remote numeric IP addresses fail to respond. What path should be investigated first?","A. There is a problem with a router in the office
B. There is a problem with a DNS server in the office
C. The users are not getting correct IP addresses from the DHCP server
D. The wireless access point in the area is down",A,A. There is a problem with a router in the office,The router/gateway path deserves investigation. DNS cannot explain failure to reach numeric IP addresses; also consider permitted ICMP filtering.,"2.6, 5.5",B041,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
B043,Computer hardware,A user tries to add files to an already finalized write-once optical disc. Why does the new write fail?,"A. The disk has already been finalized
B. The files are encrypted
C. There is a corrupt file on the hard drive
D. The files are not compatible with the type of disk used",A,A. The disk has already been finalized,Finalization closed the disc to further recording in this scenario. Use suitable writable media and a supported recording format.,3.4,B043,https://www.sony.com/electronics/support/articles/00009285
B044,Wireless,A company laptop cannot reach a printer on an isolated guest Wi-Fi network. Policy permits the printer on the corporate network. Which change restores the intended reachability?,"A. Set up the user's computer to act as a print server.
B. Configure the printer to use the Internet printing protocol.
C. Ensure the user's computer is set to DHCP.
D. Connect the printer to the company wireless network.",D,D. Connect the printer to the company wireless network.,Move the printer to the authorized reachable network. Installing software does not bypass guest-network isolation.,"2.6, 5.5",B044,https://support.apple.com/en-us/102766
B045,Printers,Which of the following peripherals would a company use to take inventory quickly and update price tags for products? (Choose two.),"A. Barcode scanner
B. Label printer
C. Magnetic reader
D. KVM switch
E. NFC device
F. Flatted scanner","A,B",A. Barcode scanner; B. Label printer,"A barcode scanner reads inventory codes, while a label printer creates replacement price labels. A magnetic-stripe reader does not print tags.",3.8,B045,https://prod-www.zebra.com/us/en/resource-library/faq/difference-between-direct-thermal-and-thermal-transfer-printing.html
B046,Mobile devices,An engineer is working at a remote site that does not have Internet access. Which of the following features should the engineer use to connect a laptop to the Internet if hotspot functionality is unavailable?,"A. Tethering
B. Near field communication
C. Wireless LAN
D. Virtual private network",A,A. Tethering,"USB or Bluetooth tethering can share supported cellular data without Wi-Fi hotspot. A hotspot commonly shares cellular service over Wi-Fi; tethering is the broader sharing idea. A compatible cellular modem is another option. Carrier plans, coverage and data allowances still apply.",1.3,B046,https://support.apple.com/en-us/111785
B047,Networking,Which of the following BEST describes the purpose of an IPv4 subnet mask?,"A. It defines where network and host bits exist
B. It is used to find the default gateway on a LAN
C. It gives users the ability to send and receive data.
D. It allows the ability, when needed, to bridge subnets.",A,A. It defines where network and host bits exist,IPv4 mask distinguishes network prefix bits from host bits. The mask helps a host decide whether a destination is local or needs a router. /32 has valid uses elsewhere; it is a mismatch in this stated LAN scenario.,"2.6, 5.5",B047,https://learn.microsoft.com/en-us/troubleshoot/windows-client/networking/tcpip-addressing-and-subnetting
B048,Networking,Company management wants to give users the ability to work from home during periods of bad weather. Which of the following would enable the workforce to do this?,"A. NAT
B. VLAN
C. VPN
D. HIPS",C,C. VPN,Authorized VPN gives remote access to private network resources over untrusted networks. An encrypted remote-access VPN can protect traffic between a user and the VPN endpoint. It does not automatically protect traffic after that endpoint or make an unsafe device trustworthy.,"2.6, 1.3",B048,https://csrc.nist.gov/glossary/term/virtual_private_network
